nb_cycle_retour,moy_cycle_retour,dist_veto,jour_veto,propor_utilisa_retour
23,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
23,16,15.0,2,50.950292397660824
24,16,15.0,2,50.950292397660824
0,0,15.0,2,0.0
23,16,15.0,2,50.950292397660824
23,16,15.0,2,51.09649122807017
23,16,15.0,2,50.950292397660824
23,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
25,16,15.0,2,50.950292397660824
23,16,15.0,2,51.02339181286549
23,16,15.0,2,50.950292397660824
24,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
23,16,15.0,2,50.950292397660824
25,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
23,16,15.0,2,51.02339181286549
25,16,15.0,2,51.02339181286549
24,16,15.0,2,50.950292397660824
24,16,15.0,2,51.02339181286549
24,16,15.0,2,51.02339181286549
23,16,15.0,3,50.950292397660824
0,0,15.0,3,0.0
